分类: 中央, 名称: CGTN阿语, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 556 ms, 最高速率: 12.52 M/s, 平均速率: 12.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CGTN法语, 有效: 4, IPv4: 62, IPv6: 0, 最小延迟: 538 ms, 最高速率: 13.37 M/s, 平均速率: 4.79 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: CGTN俄语, 有效: 5, IPv4: 55, IPv6: 0, 最小延迟: 200 ms, 最高速率: 7.03 M/s, 平均速率: 4.66 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 广东卫视, 有效: 5, IPv4: 389, IPv6: 0, 最小延迟: 237 ms, 最高速率: 57.35 M/s, 平均速率: 15.86 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 香港卫视, 有效: 0, IPv4: 10, IPv6: 0, 最小延迟: 10522 ms, 最高速率: 0.31 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 浙江卫视, 有效: 5, IPv4: 362, IPv6: 0, 最小延迟: 6 ms, 最高速率: 14.15 M/s, 平均速率: 7.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.33, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 湖南卫视, 有效: 5, IPv4: 390, IPv6: 0, 最小延迟: 6 ms, 最高速率: 15.19 M/s, 平均速率: 5.96 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 北京卫视, 有效: 5, IPv4: 400, IPv6: 0, 最小延迟: 589 ms, 最高速率: 7.23 M/s, 平均速率: 4.62 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 湖北卫视, 有效: 5, IPv4: 357, IPv6: 0, 最小延迟: 545 ms, 最高速率: 15.14 M/s, 平均速率: 9.41 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 黑龙江卫视, 有效: 6, IPv4: 303, IPv6: 0, 最小延迟: 131 ms, 最高速率: 46.68 M/s, 平均速率: 21.82 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 安徽卫视, 有效: 5, IPv4: 301, IPv6: 0, 最小延迟: 582 ms, 最高速率: 7.71 M/s, 平均速率: 5.01 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 东方卫视, 有效: 5, IPv4: 362, IPv6: 0, 最小延迟: 113 ms, 最高速率: 15.00 M/s, 平均速率: 5.77 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 重庆卫视, 有效: 5, IPv4: 485, IPv6: 0, 最小延迟: 557 ms, 最高速率: 6.64 M/s, 平均速率: 5.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.92, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 东南卫视, 有效: 5, IPv4: 303, IPv6: 0, 最小延迟: 4 ms, 最高速率: 77.75 M/s, 平均速率: 4.84 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 甘肃卫视, 有效: 5, IPv4: 204, IPv6: 0, 最小延迟: 102 ms, 最高速率: 38.39 M/s, 平均速率: 4.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 广西卫视, 有效: 5, IPv4: 273, IPv6: 0, 最小延迟: 552 ms, 最高速率: 16.96 M/s, 平均速率: 6.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 贵州卫视, 有效: 5, IPv4: 297, IPv6: 0, 最小延迟: 8 ms, 最高速率: 240.28 M/s, 平均速率: 53.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.88, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 海南卫视, 有效: 4, IPv4: 237, IPv6: 0, 最小延迟: 9 ms, 最高速率: 267.03 M/s, 平均速率: 68.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 河北卫视, 有效: 6, IPv4: 285, IPv6: 0, 最小延迟: 4 ms, 最高速率: 67.55 M/s, 平均速率: 5.31 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 河南卫视, 有效: 5, IPv4: 318, IPv6: 0, 最小延迟: 15 ms, 最高速率: 52.80 M/s, 平均速率: 14.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.85, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 吉林卫视, 有效: 6, IPv4: 285, IPv6: 0, 最小延迟: 4 ms, 最高速率: 89.68 M/s, 平均速率: 5.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.56, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 江苏卫视, 有效: 5, IPv4: 420, IPv6: 0, 最小延迟: 556 ms, 最高速率: 7.85 M/s, 平均速率: 6.64 M/s, 最高分辨率: 3840x2160, 平均帧率: 35.71, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 江西卫视, 有效: 5, IPv4: 334, IPv6: 0, 最小延迟: 468 ms, 最高速率: 8.05 M/s, 平均速率: 6.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 辽宁卫视, 有效: 5, IPv4: 322, IPv6: 0, 最小延迟: 205 ms, 最高速率: 63.39 M/s, 平均速率: 18.90 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 内蒙古卫视, 有效: 5, IPv4: 162, IPv6: 0, 最小延迟: 550 ms, 最高速率: 7.41 M/s, 平均速率: 6.59 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 宁夏卫视, 有效: 5, IPv4: 215, IPv6: 0, 最小延迟: 553 ms, 最高速率: 7.36 M/s, 平均速率: 5.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.71, 视频编解码器: h264, 音频编解码器: mp2
